"nome";"telefone";"endereco";"categoria";"horario";"avaliacao";"numAvaliacoes";"link"
"Designer de sobrancelhas";"(65) 99945-9652";"Essence - Studio de beleza - Av. das Seriemas, 1785 - RES IPES, Nova Mutum - MT, 78453-050";"Salão de Beleza";"Fechado ⋅ Abre qua. às 07:00";"4,9";"106";"https://www.google.com/maps/place/Designer+de+sobrancelhas/data=!4m7!3m6!1s0x93a0295122ec70b9:0xea3187d1e8204a45!8m2!3d-13.826515!4d-56.097227!16s%2Fg%2F11h79tfp8j!19sChIJuXDsIlEpoJMRRUog6NGHMeo?authuser=0&hl=pt-BR&rclk=1"
"Studio olhar marcante lash designer";"(65) 99210-8947";"Av. das Seriemas - Centro, Nova Mutum - MT, 78450-000";"Studio de cílios";"";"5,0";"";"https://www.google.com/maps/place/Studio+olhar+marcante+lash+designer/data=!4m7!3m6!1s0x93a029f3ed6f093b:0xdc46d336abfb7e43!8m2!3d-13.8291499!4d-56.0889602!16s%2Fg%2F11p_2_v378!19sChIJOwlv7fMpoJMRQ377qzbTRtw?authuser=0&hl=pt-BR&rclk=1"
"Andréia Matos cílios e sobrancelhas";"(65) 99617-0708";"Próximo a Academia Movimento - Rua dos Cedros, 718W - sala b - Centro, Nova Mutum - MT, 78450-000";"Salão de sobrancelhas";"Fechado ⋅ Abre qua. às 08:00";"5,0";"47";"https://www.google.com/maps/place/Andr%C3%A9ia+Matos+c%C3%ADlios+e+sobrancelhas/data=!4m7!3m6!1s0x93a029a9a19bf591:0x842dc50bba1c6a8c!8m2!3d-13.826046!4d-56.0836962!16s%2Fg%2F11n_zb32tv!19sChIJkfWboakpoJMRjGocugvFLYQ?authuser=0&hl=pt-BR&rclk=1"
